106	01~02	小葉菜類	青蔥	得克利Tebuconazole 0.03 (不符使用規定)	新北市政府衛生局	惠康百貨股份有限公司員山分公司/新北市中和區員山路489號	
106	01~02	小葉菜類	蔥	嘉保信Oxycarboxin 1.48 (不符使用規定)	新北市政府衛生局	市府(員工餐廳)/ 新北市板橋區中山路1段161號8樓	
106	01~02	小葉菜類	油菜	四氯異苯腈Chlorothalonil 7.6 (5.0)、賽滅寧Cypermethrin 7.5 (2.0)	南投縣政府衛生局	興味有限公司/南投縣草屯鎮太平路一段51號	
106	01~02	小葉菜類	油菜	佈飛松Profenophos 1.8 (1.0)、得克利Tebuconazole 0.06 (不符使用規定)	苗栗縣政府衛生局	榮新果菜行/苗栗縣頭份市仁愛里中山路10號	
106	01~02	小葉菜類	油菜	芬普尼Fipronil 0.049 (不符使用規定)	南投縣政府衛生局	四季豐果菜行/南投縣埔里鎮南昌街30號	
106	01~02	小葉菜類	茼蒿	滅芬諾Methoxyfenozide 0.03 (不符使用規定)	南投縣政府衛生局	全聯實業股份有限公司魚池分公司/南投縣魚池鄉魚池村魚池街539號	
106	01~02	小葉菜類	青江菜	佈飛松Profenophos 1.3 (1.0)	臺北市政府衛生局	臺北農產運銷股份有限公司第二果菜批發市場/臺北市中山區民族東路336號	
106	01~02	果菜類	朝天椒	賜派芬Spirodiclofen 0.17 (不符使用規定)	基隆市衛生局	復興蔬果行-101年幼托食材商/基隆市信義區仁一路61號	
106	01~02	果菜類	彩色甜椒	達馬松Methamidophos 0.9 (0.5)	新竹市衛生局	楓康超市經國店/新竹市香山區經國路三段33號	
106	01~02	果菜類	辣椒(朝天椒)	芬普尼Fipronil 0.03 (不符使用規定)、依芬寧Etofenprox 0.21 (不得檢出)	基隆市衛生局	復興蔬果行-101年幼托食材商/基隆市信義區仁一路61號	
106	01~02	果菜類	辣椒 	普克利Propiconazole 0.042 (不符使用規定)	雲林縣衛生局	原食餐坊/雲林縣斗六市南興路27號	
106	01~02	果菜類	紅辣椒 	賓克隆Pencycuron 0.02 (不符使用規定)	新竹縣政府衛生局	陸勤部副供中心湖口副供站/新竹縣湖口鄉勝利路二段360號	
106	01~02	果菜類	黃金番茄	腐絕Thiabendazole 0.3 (不符使用規定)	宜蘭縣政府衛生局	金是金股份有限公司/宜蘭縣員山鄉永同路3段20號	
106	01~02	瓜菜類	胡瓜	克凡派Chlorfenapyr 0.02 (不符使用規定)	新竹市衛生局	三商行股份有限公司新竹高翠分公司/新竹市東區高翠路341號	
106	01~02	豆菜類	豌豆	芬普尼Fipronil 0.139 (不符使用規定)	屏東縣政府衛生局	屏東縣南州鄉農會超市/屏東縣南州鄉仁里村三民路27號	
106	01~02	豆菜類	豌豆	滅芬農Metrafenone 0.02 (不得檢出)、得芬諾Tebufenozide 0.56 (不符使用規定)	宜蘭縣政府衛生局	阿籃菜攤/宜蘭縣宜蘭市果菜市場	
106	01~02	豆菜類	豌豆	賽速安Thiamethoxam 0.44 (0.02)	新北市政府衛生局	無市招攤商/新北市蘆洲區成功路	
106	01~02	豆菜類	臺灣甜豌豆	加保扶Carbofuran 0.02 (不得檢出)	新北市政府衛生局	大潤發/新北市新店區環河路22號B1樓	
106	01~02	豆菜類	豌豆莢	賽速安Thiamethoxam 0.20 (0.02)	新北市政府衛生局	中和家樂福/新北市中和區中山路2段295號B1樓	
106	01~02	豆菜類	豌豆	芬普尼Fipronil 0.02 (不符使用規定)	新北市政府衛生局	無市招攤販/新北市新莊區中華路1段82號	
106	01~02	豆菜類	甜豆	加保扶Carbofuran 0.1 (不得檢出)	桃園市政府衛生局	佳宏生鮮蔬菜行/桃園市新屋區中山路370號24攤	
106	01~02	豆菜類	臺灣甜豌豆	芬普蟎Fenpyroximate 0.08 (不符使用規定)、賽速安Thiamethoxam 0.33 (0.02)	彰化縣衛生局	惠康百貨股份有限公司員林二分公司/彰化縣員林市新興里博愛路185號	
106	01~02	豆菜類	甜豆	滅芬農Metrafenone 0.34 (不得檢出)	彰化縣衛生局	大通百貨有限公司/彰化縣員林市南平里莒光路613號	
106	01~02	豆菜類	敏豆	免敵克Bendiocarb 0.02 (不符使用規定)、諾伐隆Novaluron 0.07 (不得檢出)、祿芬隆Lufenuron 0.18 (不符使用規定)	新竹縣政府衛生局	陸勤部副供中心湖口副供站/新竹縣湖口鄉勝利路二段360號	
106	01~02	大漿果類	蜜糖百香果	達馬松Methamidophos 0.21 (不得檢出)	基隆市衛生局	頂好超市常青分店/基隆市安樂區安樂路二段164號B1	
106	01~02	大漿果類	木瓜	納乃得Methomyl 0.06 (不得檢出)	嘉義市政府衛生局	金大豐蔬菜雜貨/嘉義市西區仁愛路233號	
106	01~02	大漿果類	百香果	克收欣Kresoxim-methyl 0.09 (不符使用規定)	嘉義市政府衛生局	頂好超市嘉義二分公司/嘉義市西區嘉義市西區仁愛路211、213號	
106	01~02	小漿果類	草莓	阿巴汀Abamectin 0.10 (0.02)	宜蘭縣政府衛生局	玉清果菜行/宜蘭縣宜蘭市崇聖街65、67號	
106	01~02	小漿果類	草莓	芬佈賜Fenbutatin-oxide 1.0 (不得檢出)	新北市政府衛生局	御美果蔬果行/新北市三重區光復路1段68巷7之1號	
106	01~02	小漿果類	草莓-1號果(專櫃)	阿納寧Acrinathrin 0.15 (不得檢出)	臺南市政府衛生局	家褔股份有限公司臺南仁德分公司/臺南市仁德區中山路711號	
106	01~02	小漿果類	草莓	芬佈賜Fenbutatin-oxide 0.12 (不得檢出)、護汰寧Fludioxonil 5.1 (2.5)	宜蘭縣政府衛生局	金是金股份有限公司/宜蘭縣員山鄉永同路3段20號	
106	01~02	柑桔類	澄蜜椪柑	邁克尼Myclobutanil 0.06 (不符使用規定)	基隆市衛生局	7-ELEVEN孝三門市/基隆市仁愛區孝三路89 、91號	
106	01~02	柑桔類	椪柑25A	護汰芬Flutriafol 0.05 (不符使用規定)	桃園市政府衛生局	臺西農產企業有限公司/桃園市桃園區中正路746號1樓	
106	01~02	柑桔類	無子桶柑	菲克利Hexaconazole 0.03 (不符使用規定)	基隆市衛生局	富源蔬果行/基隆市仁愛區愛九路1號	
106	01~02	柑桔類	檸檬	菲克利Hexaconazole 0.02 (不符使用規定)	屏東縣政府衛生局	屏東縣內埔地區農會供銷部/屏東縣內埔鄉平昌街1號	
106	01~02	柑桔類	檸檬	加保利Carbaryl 2.8 (1.0)	花蓮縣衛生局	香榭城冰店(香榭城鮮果冰品)/ 花蓮縣吉安鄉中山路3段77號	
106	01~02	柑桔類	帝王柑	三賽唑Tricyclazole 0.15 (不得檢出)	南投縣政府衛生局	蕭文見/南投縣水里鄉玉峰村仁愛路57號	
