34	孟鄉生化科技股份有限公司二廠	台中市大里區中興路一段一巷一弄2-1號	乳劑、液劑	102.10.24	106.2.14		N	
35	耐斯企業股份有限公司(民雄二廠)	嘉義縣民雄鄉中興一街7號、中山路21號、中山路27號	乳劑、液劑	102.11.27			N	
36	昇宏國際企業股份有限公司	高雄市大樹區竹寮路178-1號	乳劑、液劑	102.12.5	105.11.23		Y	
37	歐萊德國際股份有限公司綠色化粧品廠	桃園縣龍潭鄉中豐路高平段18號、18號2樓、18號3樓	乳劑、液劑、油劑	102.12.10	105.12.26		Y	
38	仙資堂生技股份有限公司	高雄市仁武區高楠公路96-8號	乳劑、液劑	102.12.23	106.1.11		Y	
39	富美生物科技股份有限公司	新北市新北產業園區五權路23號5樓	乳劑、液劑	102.12.30			N	
40	天賜爾生物科技股份有限公司宜蘭廠	宜蘭縣冬山鄉梅花路732號732號之一	乳劑、液劑	103.02.26			N	
41	博多實業股份有限公司汐止廠	新北市汐止區康寧街169巷31之1號10樓之1	乳劑、液劑	103.4.25			Y	
42	美喬欣生技股份有限公司	高雄市鳳山區鳳仁路260號	液劑、乳劑、油劑	103.06.27			Y	
43	法典生化科技有限公司	新北市新店區中正路543號5樓	液劑、乳劑	103.07.31			Y	
44	奈菲兒生醫股份有限公司麥克森廠	彰化縣福興鄉彰鹿路七段122號	液劑、乳劑	103.09.10			Y	
45	永佳環球有限公司	新北市板橋區四川路2段16巷9號10樓	液劑、乳劑	103.11.28			Y	
46	麗渼馨生化科技化粧品廠股份有限公司汐止廠	新北市汐止區康寧街169巷29之1號5樓之1,2	液劑、乳劑	104.4.30			Y	
47	美帥化學股份有限公司	台南市大興街96巷71號	乳劑、粉劑、油劑	104.12.29			Y	
48	超總美業科技股份有限公司	高雄市永安區保寧里永安路14-3號	液劑、乳劑	104.12.21			Y	
49	波特嫚國際生物科技股份有限公司	高雄市前鎮區新衙路286-7號3樓-2	液劑	105.1.13			Y	
50	統一化粧品企業股份有限公司	臺南巿安南區工業二路70號	粉劑、液劑、乳劑、油劑、油膏劑	105.8.25			Y	
51	昇洋生物科技股份有限公司	新北市五股區五權三路22號5樓	液劑、乳劑	105.4.26			Y	
52	美都化粧品股份有限公司	臺南市安南區東里海佃路2段560號	粉劑、油膏劑	105.6.14			Y	
