機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","信昌藥局","新北市","板橋區","三民路二段２０２之９號","林慶源","男","0229510784","Y"
"開業","大昌藥局","新北市","板橋區","北門街２８號","謝政道","男","0289682579","Y"
"開業","晉麟藥局","新北市","板橋區","懷德街78巷4號","游秀庭","女","","Y"
"開業","長欣藥師藥局","新北市","板橋區","中山路二段五○五巷三十六號","陳慈鶴","女","","Y"
"開業","谷全藥局","新北市","板橋區","裕民街四十九號","洪茂雄","男","","Y"
"開業","擎天藥局","新北市","板橋區","重慶路二三五號一樓","許貴玲","女","","Y"
"開業","富盛藥局","新北市","板橋區","四維路二九一巷四弄二四號一樓","王芬蘭","女","0222596016","Y"
"開業","杏華藥局","新北市","板橋區","溪北路一七○號一樓","王純子","女","0226757024","Y"
"開業","佳和藥局","新北市","板橋區","文化路一段三八七巷五號一樓","黃仁芬","女","0222582034","Y"
"開業","快安藥局","新北市","板橋區","漢生西路三十一號一樓","廖雪貞","女","29685792","Y"
"開業","瑞明藥局","新北市","板橋區","文化路一段十七號","顏義興","男","22728467","Y"
"開業","宏周藥局","新北市","板橋區","文化路二段五號","趙明德","男","22551438","Y"
"開業","大安堂藥局","新北市","板橋區","四川路一段３８號","王俊傑","男","0229616896","N"
"開業","欣安藥局","新北市","板橋區","民治街一三一號","簡素娟","女","02-82572535、0223327830","Y"
"開業","廷好藥局","新北市","板橋區","龍興街二五號一樓","蘇美如","女","0229691768","Y"
"開業","翰生藥局","新北市","板橋區","漢生西路七十七號一樓","邱垂珍","男","0282513666","Y"
"開業","大峰藥局","新北市","板橋區","莒光路168號1樓","陸明達","男","0932-123-683、0222510338","Y"
"開業","旭全藥局","新北市","板橋區","金門街三三一號","丁俊智","男","02-26860526","Y"
"開業","文德藥局","新北市","板橋區","國光路４３號Ｂ１","吳金珠","女","29603312","Y"
"開業","友虹藥師藥局","新北市","板橋區","國光路16號","洪秋楓","女","29691181","Y"
"開業","廣益藥局","新北市","板橋區","自由路21號","黃神綜","男","22547485","Y"
"開業","健全藥局","新北市","板橋區","實踐路125號1樓","楊子芳","女","89533330","Y"
"開業","活泉藥局","新北市","板橋區","四川路1段156號1樓、2樓","許銘勝","男","02-29647761、29647761","Y"
"開業","詠濟藥局","新北市","板橋區","幸福路23號","楊聰義","男","02-22536951","Y"
"開業","瑞芳藥局","新北市","板橋區","國泰街76巷24、26號","陳瑞芳","男","02-29517374","Y"
"開業","安佑藥局","新北市","板橋區","館前西路152-2號","黃國都","男","02-29698651","Y"
"開業","板橋丁丁藥局","新北市","板橋區","重慶路247號地下一樓之一","羅旭鴻","男","02-66208068","N"
"開業","景好藥師藥局","新北市","板橋區","國光路182號1樓","許淑清","女","02-22724728","Y"
"開業","皇慶藥局","新北市","板橋區","南門街81、83號1、2、3樓及館前西路112巷7號1、2樓","黃維德","男","02-7729-7988","Y"
"開業","同盈藥師藥局","新北市","板橋區","溪北路30號1樓","徐志忠","男","8687-3400","Y"
"開業","聯康藥局","新北市","板橋區","南雅南路二段136號","張籃方","女","02-8967-4888、0988-553-410","Y"
"開業","廣安健保藥師藥局","新北市","板橋區","四維路355號1樓","蔡盈豪","男","02-22580963","Y"
"開業","利安中西藥局","新北市","板橋區","板新路143號","洪源宗","男","02-29644745","Y"
"開業","勁好健保藥局","高雄市","左營區","果峰街12巷26號1樓","陳冠宇","男","","Y"
"開業","A好藥局","高雄市","左營區","榮成一街26號","黃麗汶","女","",""
"開業","左野藥局","高雄市","左營區","崇德路222號","喻天龍","男","3486883","Y"
"開業","康橋藥局","高雄市","左營區","華夏路622號1樓","黃惠民","男","",""
"開業","人大聯合藥局","高雄市","左營區","翠峰路18.20號","陳瑩珊","女","0919610128","Y"
"開業","士凱藥局","高雄市","左營區","孟子路178號","蕭宏力","男","3430257.0912780560","Y"
"開業","果峰健保藥局","高雄市","左營區","果峰街50巷15號1樓","郭運輝","男","0910791372","Y"
"開業","正心藥師藥局","高雄市","左營區","左營大路473之2號","李志中","男","5880386","Y"
"開業","詠康藥局","高雄市","左營區","後昌路603號1樓","陳尚賢","男","3637270","Y"
"開業","藥王有機藥局","高雄市","左營區","榮總路280號","李國彬","男","3599568",""
"開業","後昌藥局","高雄市","左營區","後昌路589號","?荐宇","男","0929924143",""
"開業","安闔藥局","高雄市","左營區","榮總路23號1樓","王建元","男","3596913","Y"
"開業","森森藥師藥局","高雄市","左營區","緯六路215號1樓","陳敏容","女","5853600、5853900.0933367787","Y"
"開業","明成葯局","高雄市","左營區","明誠二路320號1樓","林怡君","女","5561530、0929119911蔡永捷藥師",""
"開業","元元左營藥局","高雄市","左營區","自由三路410號2樓","黃楷能","男","3592582","Y"
"開業","益康藥局","高雄市","左營區","立文路98號1樓","鄭旭伶","女","0972002905、5576870","Y"
"開業","志全藥局","高雄市","左營區","明誠二路427號1樓","林怡伶","女","5568217、0963205625","Y"
"開業","上容藥局","高雄市","左營區","華夏路266號1樓","湯婷羽","女","5528706","Y"
"開業","躍獅祐恩藥局","高雄市","左營區","明華一路169號1樓","陳德玉","女","0913619610","Y"
"開業","詮裕藥局","高雄市","左營區","華夏路706號1樓","李麗貞","女","3453942","Y"
"開業","左營自由藥局","高雄市","左營區","自由二路350號","蘇于雯","女","5589991、0919171005","Y"
"開業","台灣新吉美碩高雄藥局","高雄市","左營區","大順一路91號13樓之5","楊國造","男","5560556",""
"開業","新高橋藥局華夏店","高雄市","左營區","華夏路1110號","曾心渝","女","3410915","Y"
"開業","富元聯合健康藥局","高雄市","左營區","博愛三路37號1樓","梁碩順","男","",""
"開業","佳寧峰藥局","高雄市","左營區","?後街2號","蕭永安","男","5886408","Y"
"開業","杏光藥局","高雄市","左營區","果峰街４７巷１號","古天歡","男","075837060","Y"
"開業","紅心藥局","高雄市","左營區","崇德路二五五號","蔡洪興","男","073416697","Y"
"開業","宏仁藥局","高雄市","左營區","左營大路三九０號","林志仁","男","075817895","Y"
"開業","怡杏藥局","高雄市","左營區","天祥二路八九號","李春田","男","073414420","Y"
"開業","世錦藥局","高雄市","左營區","新中街一四一號","陳世錦","男","073453277","Y"
"開業","二德藥局","高雄市","左營區","店仔頂路六九號","陳俊敦","男","075821934","Y"
"開業","果貿藥局","高雄市","左營區","果峰街二二號","陳水生","男","075852825","Y"
"開業","仁仁藥局","高雄市","左營區","西陵街１０3號","謝江章","男","075818181","N"
"開業","立文藥局","高雄市","左營區","立文路５４號","柯中清","男","073452899","Y"
"開業","慈德藥局","高雄市","左營區","重愛路５３號","仇慧芳","女","073415009","Y"
"開業","翔生藥局","高雄市","左營區","左營大路５１４號","謝吉清","男","075827329","Y"
"開業","吉辰藥局","高雄市","左營區","左營大路４１號之１","黃嘉美","女","075827329","Y"
"開業","萬壽堂藥局","高雄市","左營區","明潭路102號","李春賢","男","075833017","N"
"開業","華夏藥局","高雄市","左營區","華夏路４１０號","蔣瑞榮","男","073410520","Y"
"開業","銘益藥局","高雄市","左營區","民族一路９０１巷２６弄５９號","顏銘宏","男","073596324","N"
"開業","麥田藥局","高雄市","左營區","左營大路６８號","林麗捷","女","075814618","N"
"開業","有機藥局","高雄市","左營區","榮耀街３號","陳來富","男","073596429","Y"
"開業","新高橋藥局","高雄市","左營區","民族一路1028號","陳國明","男","3100696、075872486","Y"
"開業","金橋藥局","高雄市","左營區","裕誠路144號1FB1","呂金英","女","07-5582802","Y"
"開業","新橋藥局","高雄市","左營區","裕誠路370號1樓","龔國禎","男","5573857、07-5522486","N"
"開業","丁丁藥局北高雄店","高雄市","左營區","自由三路148號","劉昭伶","女","07-3453680","N"
"開業","崇光藥局","高雄市","左營區","華夏路755號","李韋儀","女","","Y"
"開業","平安藥局","高雄市","左營區","中華一路5之1號","王秀霞","女","07-5833688","Y"
"開業","麗安藥局","高雄市","左營區","民族一路957號","紀淑芬","女","07-3432700","N"
"開業","和信藥師健保藥局","高雄市","左營區","崇德路267號","何昶德","男","07-3419363","Y"
"開業","政大聯合藥局","高雄市","左營區","自由三路506號","洪榮政","男","07-3454713","Y"
"開業","好幸福專業藥局","高雄市","左營區","明華一路220號","陳伯瑜","男","07-5506816","Y"
"開業","人仁藥師藥局","高雄市","左營區","新莊仔路668之1號","曾文松","男","07-5507399","N"
"開業","威林藥局","高雄市","左營區","華夏路721號","林建志","男","07-3414243","Y"
"開業","健怡藥局","高雄市","左營區","翠峰路40號","宋振祥","男","07-5821891","Y"
"開業","高山專業藥局","高雄市","左營區","文自路736號","歐建良","男","07-3482367","N"
"開業","必健藥局","高雄市","左營區","自由二路90號","張一雄","男","07-5584259","Y"
"開業","合康健保藥局","高雄市","左營區","裕誠路188號","林奎妙","女","07-5509667","Y"
"開業","杏光自由藥局","高雄市","左營區","自由四路41號","陳杏屏","女","07-3454432","Y"
"開業","健智美藥局","高雄市","左營區","富國路98號","莊雅琪","女","","Y"
"開業","安欣藥師藥局","高雄市","左營區","大順一路552號1樓","徐育琿","女","5506620","Y"
"開業","辰暘藥局","高雄市","左營區","富民路169-1號1.2樓","張芳慈","女","","Y"
"開業","英祥連鎖藥局仁雄店","高雄市","仁武區","仁雄路36之2號","劉錦靜","女","","Y"
"開業","金正軒中西藥局","高雄市","仁武區","竹後里竹門巷36號","蘇玲玉","女","073727154","N"
"開業","明曜藥局","高雄市","仁武區","灣內里仁雄路6-6號","黃炳文","男","07-3736846","Y"
"開業","大安藥局","高雄市","仁武區","灣內里仁雄路42號","高名慶","男","07-3743293","Y"
"開業","仁同藥局","高雄市","仁武區","八卦里永仁街706號","章玉芝","女","07-3736142","Y"
"開業","奇美藥局","高雄市","仁武區","中華路40號","沈純如","女","0920-521855","Y"
"開業","星億藥局","高雄市","仁武區","中正路167、169號","黃榆証","男","3712815","Y"
"開業","元成藥局","高雄市","仁武區","仁武里中華路１０７號","謝進益","男","073712526","N"
"開業","悅登便利藥局","高雄市","仁武區","仁武里仁樂街２２２號","吳英山","男","073743582","N"
"開業","好心藥局","高雄市","仁武區","中正路299號1樓","王慧菁","女","07-3728985","Y"
"開業","八邑健保藥局","高雄市","仁武區","五和里八德西路1805號","侯邑蓉","女","07-3731210","Y"
"開業","四季藥局","高雄市","仁武區","永仁街321號","郭美婷","女","07-3728289","Y"
"開業","高楠藥局","高雄市","仁武區","高楠里高楠九街51號","潘桂森","男","07-3429667",""
"開業","鴻州藥局","高雄市","仁武區","八卦里八德西路2298號1樓","蔡美詩","女","07-3752888","Y"
"開業","興德昌藥局","高雄市","仁武區","文武里中華路232號","黃文承","男","07-3757005","Y"
"開業","仁武丁丁藥局","高雄市","仁武區","仁和里鳳仁路21之8號","陳慧聰","男","07-3721896",""
"開業","日建藥局","高雄市","仁武區","仁忠路３２號","黃秋娥","女","0 0 0","Y"
"開業","仁信藥局","高雄市","仁武區","中正路１４６號","賴信宏","男","073716115","Y"
"開業","守仁藥局","高雄市","仁武區","仁心路２１０－１號","林仁守","男","073716301","Y"
"開業","仁德藥局","高雄市","仁武區","仁武里中正路１８８號","林崇濱","男","073711632","N"
"開業","南順堂藥局","高雄市","仁武區","竹後里大福街２１６號","王美惠","女","07 0 0","N"
"開業","育銘藥局","高雄市","仁武區","拷潭里復興巷１３號","吳界源","男","073713422","N"
"開業","春天藥局","高雄市","仁武區","仁雄路98-10號","王百祿","男","07-3727428","Y"
"開業","安泰專業藥師藥局","高雄市","大社區","中山路267號1樓","林佳燕","女","07-3553715","Y"
"開業","德泰健保藥局","高雄市","大社區","大新路35之1號1樓","王姿文","女","07-3524296、07-3524296","Y"
"開業","新高橋藥局大社店","高雄市","大社區","中山路277號1樓","吳文緯","男","3520661","Y"
"開業","聖宏健保藥局","高雄市","大社區","中山路455-1號1樓","陳建成","男","07-3519255","Y"
"開業","上鼎藥師健保藥局","高雄市","大社區","中山路423號","許樂宇","女","07-3531053","Y"
"開業","金元發藥局","高雄市","大社區","中山路199號","溫海鵬","男","",""
"開業","大社服安藥師藥局","高雄市","大社區","大社里中山路129號","黃介清","男","3521375","Y"
"開業","森達藥局","高雄市","大社區","金龍路317號","余宏文","男","07-3510609","Y"
"開業","寶寶藥局","高雄市","大社區","金龍路４１號","陳春仁","男","073510582","Y"
"開業","建成藥局","高雄市","岡山區","大仁路97號","廖建成","男","076218688","Y"
"開業","欣康立健保藥局","高雄市","岡山區","公園北路31號1樓","王清仁","男","6246299、07-6215238","Y"
"開業","光復藥局","高雄市","岡山區","前峰路１０１－８號","劉儒","女","076259575","N"
"開業","宏昇藥局","高雄市","岡山區","嘉興路252號","謝秀春","女","076223805","N"
"開業","富山藥局","高雄市","岡山區","程香里崗燕路３３１號","蕭富雄","男","076217259","N"
"開業","祥鼎藥局","高雄市","岡山區","嘉興路282號","王文明","男","076211382","Y"
"開業","家仁藥局","高雄市","岡山區","宮中街118號","林容月","女","07-6283333","N"
"開業","鼎霖藥局","高雄市","岡山區","國軒路305號","劉麗芬","女","6255986","N"
"開業","鑫德昌藥局","高雄市","岡山區","溪東路38號","林建章","男","07-6233338","Y"
"開業","柏康藥局","高雄市","岡山區","壽天路22號","張文菁","女","07-6241688","Y"
"開業","醫聯藥局","高雄市","岡山區","前峰里公園西３段１２５號","溫宙貞","女","076259873","Y"
"開業","惠光西藥局","高雄市","岡山區","維仁路１４７號","黃永良","男","07-6212163、07 0 0","Y"
"開業","昌仁藥局","高雄市","岡山區","維新路２１號","陳忠義","男","076212713","Y"
"開業","協安大藥局","高雄市","岡山區","介壽西路１０號","吳杰龍","男","076250559","Y"
"開業","鴻興大藥局","高雄市","岡山區","中華路136號","劉瑞林","男","076259903","Y"
"開業","鴻德大藥局","高雄市","岡山區","仁壽路８４號","黃其昌","男","076262717","Y"
"開業","建元藥局","高雄市","岡山區","大仁北路104號","黃誠凱","男","076216672","Y"
"開業","啟元藥局","高雄市","岡山區","平安里文賢路１號","周昱昌","男","076220566","N"
"開業","宏恩藥局","高雄市","岡山區","大仁北路１７３號","林偉浚","男","076222621","N"
"開業","隆全藥局","高雄市","岡山區","仁壽路38-1號","蘇成偉","男","07-6264538","N"
"開業","人人藥局","高雄市","岡山區","維新東街2號","呂潔如","女","","Y"
"開業","丁丁藥局","高雄市","岡山區","中華路1號","何金益","男","07-6256157","N"
"開業","勵志藥局","高雄市","岡山區","勵志二路38號","黃惠讌","女","6230823","Y"
"開業","天德藥局","高雄市","岡山區","碧紅里中山北路39號","蔡尚寧","男","07-6230111","Y"
"開業","長青連鎖藥局","高雄市","岡山區","碧紅里維新東街33號","劉亮君","男","07-6232566","Y"
"開業","宗明藥局","高雄市","岡山區","民有路31、33、35號","柯美如","女","07-6231391","Y"
"開業","平和藥局","高雄市","岡山區","岡山路２６８號","吳皇杰","男","076212592","Y"
"開業","春日藥局","高雄市","路竹區","民生路14號","蔡陳明珠","女","076973711","N"
"開業","大易藥局","高雄市","路竹區","太平路221號","鄭明達","男","07-6952371","N"
"開業","安利藥局","高雄市","路竹區","華山路９５號","莊國政","男","076981063","N"
"開業","興仁藥局","高雄市","路竹區","中華路65號1樓","廖金載","男","07-6963810","N"
"開業","固德藥局","高雄市","路竹區","金平路312號","林淑珍","女","6978641","Y"
"開業","大社藥局","高雄市","路竹區","大社路29號","林省三","男","","Y"
"開業","信和藥局","高雄市","路竹區","文南里延平路247號","姚三奇","男","07-6963630",""
"開業","佑安藥局","高雄市","路竹區","中和街182號","許雅惠","女","0952000273","Y"
"開業","福祥中西藥局","高雄市","路竹區","大社路66號","王鵬翔","男","",""
"開業","安麗兒藥局路竹店","高雄市","路竹區","大社路51號1樓","陳佳欽","男","","Y"
"開業","金德昌藥師藥局","高雄市","路竹區","大社路90之6號","柯舒尹","女","07-6978143","Y"
"開業","醫康藥局","高雄市","路竹區","中和街30號","蔣淵琮","男","07-6973776","Y"
"開業","宗明藥局路竹店","高雄市","路竹區","中正路114、116號","江惠鈴","女","6962345","Y"
"開業","永昌藥局","高雄市","路竹區","延平路81號","程文志","男","07-6964321","Y"
"開業","天德藥局路竹店","高雄市","路竹區","忠孝路26之2、之3號1樓","莊明?","男","07-6975656","Y"
"開業","惠正藥局","高雄市","路竹區","中山路６６２號","方惠祥","男","076964313","N"
"開業","壽山藥局","高雄市","路竹區","中和街29號","黃相輝","男","6961669","N"
"開業","東信藥局","高雄市","路竹區","甲南里大仁路１９５號","王傳毅","男","076963977","N"
"開業","益農藥局","高雄市","路竹區","甲北里大智路６８號","顏一農","男","07-6967080","Y"
"開業","清白藥局","高雄市","路竹區","大德路40號","趙清白","男","076952044","N"
"開業","誼康藥局","高雄市","路竹區","中山路541號","陳青娥","女","07-6074379","Y"
"開業","存德堂藥局","高雄市","路竹區","中山路１０１７號","鄭炯堂","男","6962056","N"
"開業","佑聖健保藥局","高雄市","阿蓮區","民生路79號","林詠智","男","07-6321516","Y"
"開業","天德藥局阿蓮店","高雄市","阿蓮區","忠孝路168、170號","林正輝","男","0961268179",""
"開業","和德藥局","高雄市","阿蓮區","清蓮里中山路88號","張志忠","男","07-6313928","Y"
"開業","明宗藥局","高雄市","阿蓮區","忠孝路165號","顏啟淵","男","6313456","N"
"開業","惠聖中西藥局","高雄市","阿蓮區","清蓮里中山路１４號","陳人毓","男","076312582","Y"
"開業","慶德藥局","高雄市","阿蓮區","中正路５９０號","葉慶鴻","男","076312256","Y"
"開業","新一心堂藥局","高雄市","阿蓮區","南蓮里中正路５０７號","李榮武","男","076312072","N"
"開業","啟安藥局","高雄市","阿蓮區","青蓮村中正路５４３號","黃淑娟","女","076312025","N"
"開業","榮裕藥局","高雄市","燕巢區","中民路１４０號","謝慶和","男","07-6166707","N"
"開業","安成藥局","高雄市","燕巢區","中民路６５７－２號","林泰山","男","6165737","Y"
"開業","昌龍藥局","高雄市","燕巢區","瓊興路３８１巷１０號","李哲龍","男","076166269","Y"
"開業","國興藥局","高雄市","燕巢區","南燕里中民路４３５號","林國興","男","07-6161629","Y"
"開業","吉暉藥局","高雄市","燕巢區","中興路14號","陳清泉","男","6169459","Y"
"開業","和德藥局燕巢店","高雄市","燕巢區","西燕里中民路628號","魏泰明","男","","Y"
"開業","安康健保藥局","高雄市","燕巢區","中興路8號","王秋萍","女","07-6141103","Y"
"開業","大正藥局","高雄市","燕巢區","南燕里中民路559號","黃純愛","女","07-6161277","N"
"開業","一安堂藥局","高雄市","橋頭區","橋南路86號","蔡秋萍","女","076113371","N"
"開業","照安藥局","高雄市","橋頭區","橋南路５５號","張春吉","男","076113230","Y"
"開業","順利藥局","高雄市","橋頭區","甲南里甲昌路６１號","胡貴美","女","076113402","N"
"開業","和德藥局橋頭店","高雄市","橋頭區","橋南路116-1號","鄭淑芬","女","07-6113580","Y"
"開業","順和藥局","高雄市","橋頭區","仕豐路5號","吳建璋","男","07-6118688",""
"開業","安麗兒藥局橋頭店","高雄市","橋頭區","隆豐路148號","楊仕逸","男","07-6111209","Y"
"開業","德松堂中西藥局","高雄市","橋頭區","德松里成功北路１０５號","蔡松佐","男","076119601","N"
"開業","昱佳藥局","高雄市","橋頭區","仕豐南路66號","陳佳鴻","男","07-6110302","Y"
"開業","順和藥局","高雄市","橋頭區","仕豐路5號","吳建隆","男","",""
"開業","翔安藥局","高雄市","橋頭區","橋南里橋南路２８號","楊天雄","男","076112639","N"
"開業","政憲藥局","高雄市","橋頭區","橋南路９４號","楊政憲","男","07 0 0","N"
"開業","上仁藥局","高雄市","橋頭區","橋頭里站前街１９－１７號","林冠男","女","076111323","Y"
"開業","民權藥局","高雄市","橋頭區","橋頭里成功路２２９號","邱惠芳","女","077611241","Y"
"開業","言安藥局","高雄市","橋頭區","樹德路65號","劉淑雲","女","07-6110719","Y"
"開業","順成藥局","高雄市","梓官區","梓官路城隍巷３１號","黃順誠","男","076172407","Y"
"開業","賢德藥局","高雄市","梓官區","梓官路４２號","楊志賢","男","6176283","N"
"開業","郭順忠藥局","高雄市","梓官區","大舍南路26號","郭順忠","男","6194418","Y"
"開業","安麗兒藥局梓官店","高雄市","梓官區","嘉展路479號","鍾旻峰","男","6106189","Y"
"開業","和德藥局梓官店","高雄市","梓官區","梓和里梓官路233號1樓","賴起家","男","07-6191008","Y"
"開業","慈生藥局","高雄市","梓官區","赤崁南路５３號","李國郎","男","076101879","N"
"開業","弘泰藥局","高雄市","梓官區","赤崁東路７２號","王國柱","男","076103568","N"
"開業","嘉安藥師藥局","高雄市","梓官區","茄苳里嘉展路381號","董國平","男","07-6167008","Y"
"開業","伊生藥局","高雄市","梓官區","梓官路城隍巷22之1號","吳世修","男","07-6102767",""
"開業","柏青藥師藥局","高雄市","彌陀區","彌靖里中正路１９５號","易伯青","男","076173825","N"
"開業","禾安藥局","高雄市","彌陀區","中正路100號1樓","李聖翰","男","07-6108870","Y"
"開業","平順藥局","高雄市","彌陀區","中正路278號一樓","張翌暉","男","0935455882","Y"
"開業","欣德昌藥局","高雄市","彌陀區","中正路146-1號","陳淑君","女","",""
"開業","立達藥局","高雄市","彌陀區","中正西路２５９－２號","林日昇","男","076179277","N"
"開業","南安藥局","高雄市","彌陀區","樂安路53-1號","孫明欽","男","076191802","Y"
"開業","弘一藥局","高雄市","彌陀區","中正路１７１號","王清欽","男","076175620","N"
"開業","立昇藥局","高雄市","湖內區","民權路171號","鄒德娟","女","6934608","N"
"開業","新生藥局","高雄市","湖內區","大湖里中山路一段３０８巷３號","黃政雄","男","076931498","N"
"開業","吉亨藥局","高雄市","湖內區","大湖里民權路１４號","郭玉磬","女","076931811","N"
"開業","怡和藥局","高雄市","湖內區","葉厝里中正路一段２４０號","施碧娟","女","07 0 0","N"
"開業","振裕藥局","高雄市","湖內區","逸賢里保生路553號","鄭詠仁","男","07-6995796","Y"
"開業","華安藥局","高雄市","湖內區","中山路一段451-19號","余柳嫺","女","07-6938208","Y"
"開業","吉成藥局","高雄市","湖內區","太爺里中正路一段12號","劉淑娟","女","","Y"
"開業","生麗藥局","高雄市","湖內區","保生路326號","楊雅淨","女","07-6992899","Y"
"開業","安麗兒藥局湖內店","高雄市","湖內區","東方路96號","謝美娟","女","","Y"
"開業","大湖藥局","高雄市","湖內區","大湖里民權路２１４號","葉美鈴","女","076933886","N"
"開業","承泰藥局","高雄市","湖內區","葉厝里中正路一段３００","陳坤龍","男","076997751","N"
"開業","鳴遠藥局","高雄市","湖內區","公館里中正路一段１０９號","林銳渠","男","076993653","N"
"開業","佳龍藥局","高雄市","鳳山區","新富路375號1樓","李靜芬","女","077632760","Y"
